City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Champerico,GT,14.3,-91.9167,81.03,72,4,4.18,clear sky
338,Doha,QA,25.2867,51.5333,64.38,70,0,4.61,clear sky
339,Tashigang,BT,27.3331,91.5542,67.68,54,23,0.72,few clouds
340,Anloga,GH,5.7947,0.8973,80.82,79,96,7.87,overcast clouds
341,Varzea Da Palma,BR,-17.5981,-44.7308,70.63,86,75,2.55,broken clouds
342,Yar-Sale,RU,66.8333,70.8333,-21.28,98,17,4.59,few clouds
343,Tonj,SS,7.2737,28.6822,76.21,46,16,3.94,few clouds
344,Khandbari,NP,27.3747,87.2039,65.95,60,34,1.41,scattered clouds
345,Richards Bay,ZA,-28.783,32.0377,72.23,95,100,10.65,moderate rain
346,Kodinar,IN,20.7903,70.7031,73.8,67,0,7.31,clear sky
347,Muzhi,RU,65.3667,64.6667,-20.34,99,100,1.41,overcast clouds
