City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
561,Kulhudhuffushi,MV,82.27,broken clouds,6.6221,73.07,Haajy Guest House 1
564,Nsanje,MW,75.63,clear sky,-16.92,35.262,Nsanje Discovery Lodge
566,Kerema,PG,85.51,few clouds,-7.9631,145.7785,Frena Lodge
568,Ambulu,ID,83.57,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
576,Pochutla,MX,77.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
589,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
592,Svay Rieng,KH,76.14,broken clouds,11.0879,105.7993,Apsara guesthouse
596,San Pedro,PH,84.31,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
605,The Valley,AI,80.46,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
617,Muli,MV,83.01,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
620,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
623,Kathu,TH,80.42,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
625,Maicao,CO,77.65,overcast clouds,11.3832,-72.2432,Hotel Sancho
627,Manaus,BR,77.5,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
635,Marsh Harbour,BS,75.81,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
642,Dawei,MM,79.03,few clouds,14.0833,98.2,Hotel Dawei
643,Muncar,ID,85.28,overcast clouds,-8.4333,114.3333,Zaky Homestay
646,Nabire,ID,87.64,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
647,Krabi,TH,80.71,few clouds,8.0726,98.9105,Tharapark View Hotel
653,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
661,Daru,PG,86.34,broken clouds,-9.0763,143.2092,Daru Lodge
664,Samarai,PG,84.58,overcast clouds,-10.6167,150.6667,Nuli Sapi
672,Paka,MY,78.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
675,Sri Aman,MY,80.65,few clouds,1.2376,111.4621,Seri Simanggang Hotel
681,Maamba,ZM,77.72,broken clouds,-17.3667,27.15,
683,Road Town,VG,80.01,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
685,Siocon,PH,85.35,few clouds,7.7061,122.1353,ABS Hotel
688,Astorga,BR,77.23,scattered clouds,-23.2325,-51.6656,Rancho Jads
690,Conakry,GN,75.36,few clouds,9.538,-13.6773,Riviera Royal Hotel
694,Rio De Janeiro,BR,75.9,broken clouds,-22.9028,-43.2075,Hotel Málaga
697,Gizo,SB,84.54,overcast clouds,-8.103,156.8419,Imagination Island
698,Soe,ID,82.08,overcast clouds,-9.8607,124.284,Dena Hotel
700,Ponnani,IN,79.92,clear sky,10.767,75.9252,Rouba Residency
